feature,importance_mean,importance_max,importance_std,positive_ratio,negative_ratio,skewness,kurtosis
wavelet-HHL_glcm_MCC,0.0019773700675026263,0.08413540363311768,0.00930486982535883,0.02098360655737705,0.17901639344262296,7.767953643216206,64.70813248185584
wavelet-HLL_firstorder_90Percentile,0.0019772046263100674,0.1378427828848362,0.009543671838357911,0.17573770491803278,0.024262295081967214,-10.959439415339158,159.84673908915482
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,0.0019766745761281186,0.03947250127792359,0.006223127970360365,0.16065573770491803,0.03934426229508197,-4.377181253965092,25.635183391746015
log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.0019496967317399086,0.05373099908232689,0.005974123686119036,0.1560655737704918,0.043934426229508196,-2.897006950025256,35.15925413968081
log-sigma-3-0-mm-3D_gldm_LowGrayLevelEmphasis,0.001944939451945607,0.019107810705900192,0.004675235734033965,0.1121311475409836,0.08786885245901639,-1.1844185003966357,7.44304370565561
wavelet-HHL_firstorder_Entropy,0.0019315648327169331,0.050759196653962134,0.005659253127050781,0.0859016393442623,0.11409836065573771,0.1776200582165829,26.267311482091586
wavelet-LLL_glcm_Idmn,0.0019310397145933802,0.2587644225358963,0.013198332416611249,0.15475409836065573,0.1619672131147541,15.320748532391928,283.62239575248014
lbp-3D-k_firstorder_Maximum,0.0019298780922182438,0.07856437850743532,0.007249841477892761,0.02622950819672131,0.1737704918032787,6.949549014190305,64.44137594974487
lbp-3D-k_ngtdm_Complexity,0.0019260921858251093,0.02178116289898753,0.004808896139581575,0.09180327868852459,0.10819672131147541,1.171286913227832,9.098257287180516
log-sigma-1-0-mm-3D_gldm_DependenceVariance,0.0019239858531805319,0.062144899554550645,0.006680127529522222,0.04918032786885246,0.15081967213114755,5.7106797699827885,48.41732706386705
wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.0019222376521005004,0.09426519632339478,0.008051604357339618,0.08196721311475409,0.1180327868852459,0.12656205725513764,70.32756626528966
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.0019068866762166545,0.05768529906868935,0.006890146983119635,0.1580327868852459,0.0419672131147541,-5.82537703803622,44.8238628325979
wavelet-HLH_glrlm_RunPercentage,0.0019067751721402624,0.05957076385617256,0.0064349889620254975,0.06885245901639345,0.13114754098360656,2.767554148118094,35.75831328246187
wavelet-LHH_glcm_SumEntropy,0.0019036771080578841,0.0650777205824852,0.006967074166851059,0.14885245901639343,0.051147540983606556,-5.620227584259163,47.533323038393064
